attacker_id,total_events,systems_targeted,targets,address_scope
A0286,366,1,Cowrie,global
A0287,366,1,Cowrie,global
A0288,365,1,Cowrie,global
A0289,365,1,Cowrie,global
A0290,362,1,Cowrie,global
A0291,362,1,Cowrie,global
A0292,362,1,Cowrie,global
A0293,361,1,Cowrie,global
A0294,361,1,Cowrie,global
A0295,360,1,Cowrie,global
A0296,359,1,Cowrie,global
A0297,358,1,Cowrie,global
A0298,358,1,Cowrie,global
A0299,358,1,Cowrie,global
A0300,357,1,Cowrie,global
A0301,357,1,Cowrie,global
A0302,356,1,Cowrie,global
A0303,354,1,Cowrie,global
A0304,354,1,Cowrie,global
A0305,354,1,Cowrie,global
A0306,354,1,Cowrie,global
A0307,353,1,Cowrie,global
A0308,352,1,Cowrie,global
A0309,352,1,Cowrie,global
A0310,350,1,Cowrie,global
A0311,349,1,Cowrie,global
A0312,348,1,Cowrie,global
A0313,348,1,Cowrie,global
A0314,348,1,Cowrie,global
A0315,347,1,Cowrie,global
A0316,347,1,Cowrie,global
A0317,346,1,Cowrie,global
A0318,346,1,Cowrie,global
A0319,346,1,Cowrie,global
A0320,344,1,Cowrie,global
A0321,343,1,Cowrie,global
A0322,343,1,Cowrie,global
A0323,342,1,Cowrie,global
A0324,341,1,Cowrie,global
A0325,341,1,Cowrie,global
A0326,341,1,Cowrie,global
A0327,340,1,Cowrie,global
A0328,340,1,Cowrie,global
A0329,340,1,Cowrie,global
A0330,339,1,Cowrie,global
A0331,338,1,Cowrie,global
A0332,338,1,Cowrie,global
A0333,338,1,Cowrie,global
A0334,336,1,Cowrie,global
A0335,335,1,Cowrie,global
A0336,335,1,Cowrie,global
A0337,333,1,Cowrie,global
A0338,332,1,Cowrie,global
A0339,332,1,Cowrie,global
A0340,331,1,Cowrie,global
A0341,330,1,Cowrie,global
A0342,330,1,Cowrie,global
A0343,329,1,Cowrie,global
A0344,328,1,Cowrie,global
A0345,325,1,Cowrie,global
A0346,325,1,Cowrie,global
A0347,323,1,Cowrie,global
A0348,323,1,Cowrie,global
A0349,320,1,Cowrie,global
A0350,318,1,Cowrie,global
A0351,318,1,Cowrie,global
A0352,317,1,Cowrie,global
A0353,312,1,Cowrie,global
A0354,307,1,Cowrie,global
A0355,307,1,Cowrie,global
A0356,307,1,Cowrie,global
A0357,307,1,Cowrie,global
A0358,306,1,Cowrie,global
A0359,306,1,Cowrie,global
A0360,301,1,Cowrie,global
A0361,300,1,Cowrie,global
A0362,298,1,Cowrie,global
A0363,296,1,Cowrie,global
A0364,294,1,Cowrie,global
A0365,293,1,Cowrie,global
A0366,289,1,Cowrie,global
A0367,287,1,Cowrie,global
A0368,285,1,Cowrie,global
A0369,285,1,Cowrie,global
A0370,282,1,Cowrie,global
A0371,281,2,Conpot Cowrie,global
A0372,280,1,Cowrie,global
A0373,278,1,Cowrie,global
A0374,277,1,Cowrie,global
A0375,273,1,Cowrie,global
A0376,272,1,Cowrie,global
A0377,272,1,Cowrie,global
A0378,268,1,Cowrie,global
A0379,267,1,Cowrie,global
A0380,266,1,Cowrie,global
A0381,266,1,Cowrie,global
A0382,265,1,Cowrie,global
A0383,260,1,Cowrie,global
A0384,260,1,Cowrie,global
A0385,260,1,Cowrie,global
A0386,258,1,Cowrie,global
A0387,258,1,Cowrie,global
A0388,255,1,Cowrie,global
A0389,255,1,Cowrie,global
A0390,255,1,Cowrie,global
A0391,255,1,Cowrie,global
A0392,255,1,Cowrie,global
A0393,255,1,Cowrie,global
A0394,255,1,Cowrie,global
A0395,255,1,Cowrie,global
A0396,254,1,Cowrie,global
A0397,254,1,Cowrie,global
A0398,254,1,Cowrie,global
A0399,253,1,Cowrie,global
A0400,252,1,Cowrie,global
A0401,252,1,Cowrie,global
A0402,252,1,Cowrie,global
A0403,251,1,Cowrie,global
A0404,251,1,Cowrie,global
A0405,251,1,Cowrie,global
A0406,250,1,Cowrie,global
A0407,250,1,Cowrie,global
A0408,250,1,Cowrie,global
A0409,250,1,Cowrie,global
A0410,250,1,Cowrie,global
A0411,250,1,Cowrie,global
A0412,250,1,Cowrie,global
A0413,250,1,Cowrie,global
